longitude,latitude
144.9579,-37.8443
144.9571,-37.8421
144.9515,-37.8427
144.9539,-37.8379
144.9585,-37.8415
144.9557,-37.8436
144.94899999999998,-37.8422
144.9511,-37.8451
144.9523,-37.8407
144.9506,-37.847
144.9501,-37.8445
144.9481,-37.8443
144.959,-37.8437
144.9562,-37.8424
144.9575,-37.847
144.9521,-37.8454
144.9479,-37.8457
144.9546,-37.8468
144.9551,-37.8473
144.9513,-37.8482
144.9475,-37.8467
144.9578,-37.8448
144.9542,-37.846
144.9545,-37.845
144.9546,-37.8427
144.9518,-37.8452
144.9479,-37.8441
144.9539,-37.8473
144.9528,-37.8461
144.9517,-37.8421
144.9558,-37.8477
144.9517,-37.846
144.9493,-37.8429
144.9585,-37.8415
144.95,-37.8413
144.9495,-37.8434
144.9488,-37.8416
144.9519,-37.8387
144.9588,-37.8438
144.958,-37.842
144.945,-37.8446
144.9551,-37.8488
144.9453,-37.8448
144.9577,-37.8399
144.9497,-37.8411
145.0198,-37.7818
145.0318,-37.7707
145.0325,-37.7854
145.0279,-37.7713
145.0235,-37.7812
145.031,-37.7717
145.0268,-37.775
145.0208,-37.7845
145.0306,-37.7791
145.0308,-37.7804
145.0314,-37.7773
145.0341,-37.78
145.0288,-37.7755
145.0264,-37.7747
145.0316,-37.7743
145.0319,-37.7723
145.0243,-37.7802
145.0314,-37.7773
145.025,-37.7848
145.0262,-37.7805
145.0285,-37.7796
145.0283,-37.7765
145.029,-37.7792
145.0225,-37.7844
145.0337,-37.7829
145.0284,-37.7781
145.0309,-37.7719
144.825,-37.87
144.8105,-37.8721
144.8197,-37.8687
144.8375,-37.8693
144.8154,-37.868
144.819,-37.8681
144.8143,-37.8702
144.8171,-37.8693
144.8116,-37.8616
144.817,-37.8594
144.827,-37.8696
144.8249,-37.8697
144.8143,-37.8734
144.8182,-37.8686
144.8147,-37.8733
144.8185,-37.871
144.827,-37.8646
144.8181,-37.8579
144.8384,-37.8678
144.83100000000002,-37.8659
144.8155,-37.8658
144.816,-37.8698
144.8286,-37.868
144.8114,-37.8611
144.8202,-37.8676
144.8299,-37.8655
144.8287,-37.868
144.8124,-37.8608
144.8268,-37.8687
144.8375,-37.8674
144.8245,-37.86
144.817,-37.8672
144.8172,-37.8583
144.8235,-37.8699
144.815,-37.8684
144.8252,-37.8677
144.8387,-37.8663
144.822,-37.8659
144.8185,-37.871
144.8247,-37.8612
144.8129,-37.8653
144.832,-37.8651
144.8285,-37.868
144.8075,-37.871
144.8195,-37.8631
144.8365,-37.8637
144.8272,-37.8646
144.84799999999998,-37.829
144.8567,-37.8388
144.835,-37.8291
144.85,-37.8449
144.8529,-37.8351
144.8562,-37.8338
144.8355,-37.8284
144.8368,-37.8267
144.8583,-37.8379
144.8555,-37.838
144.8378,-37.8294
144.8529,-37.8448
144.8391,-37.8261
144.85,-37.8449
144.8602,-37.8397
144.8529,-37.8451
144.8554,-37.8337
144.8523,-37.8258
144.8444,-37.8345
144.8514,-37.8254
144.85299999999998,-37.8355
144.8451,-37.8327
144.8455,-37.8269
144.8467,-37.8391
144.8443,-37.8262
144.8385,-37.8277
144.8649,-37.8382
144.8632,-37.8423
144.8491,-37.8444
144.8553,-37.834
144.8388,-37.8318
144.8494,-37.833
144.8439,-37.8262
144.8568,-37.8393
144.8541,-37.8375
144.8505,-37.8441
144.8351,-37.8285
144.8649,-37.8332
145.0226,-37.8573
145.0262,-37.8543
145.0284,-37.8539
145.016,-37.8552
145.0135,-37.854
145.0245,-37.8546
145.0274,-37.8614
145.0167,-37.853
145.0182,-37.8592
145.0172,-37.859
145.0127,-37.8538
145.0123,-37.8538
145.0267,-37.8537
145.0222,-37.8614
145.0257,-37.8619
145.0281,-37.8574
145.0156,-37.8596
145.016,-37.8552
145.0291,-37.8555
145.0111,-37.858000000000004
145.0229,-37.8638
145.0223,-37.8623
145.0262,-37.8543
145.0268,-37.8528
145.0116,-37.8566
145.0113,-37.8548
145.02,-37.8515
145.0184,-37.8613
145.0198,-37.8596
145.0228,-37.8564
145.0276,-37.8549
145.0185,-37.8619
145.0185,-37.8605
145.0161,-37.8566
145.0267,-37.8537
145.0169,-37.8533
145.0174,-37.8574
145.0185,-37.8534
145.016,-37.8543
145.0173,-37.8536
145.0291,-37.8555
145.0116,-37.8523
145.0157,-37.8606
145.0222,-37.8614
145.0155,-37.8603
145.0145,-37.8545
145.0264,-37.8613
145.0114,-37.8537
145.0167,-37.8593
145.0247,-37.8646
145.0181,-37.853
145.017,-37.8593
145.013,-37.8602
145.0226,-37.8628
145.0161,-37.851
145.0167,-37.8511
145.015,-37.8558
145.0224,-37.8571
145.0115,-37.8531
145.0262,-37.8623
145.0247,-37.8646
145.0153,-37.859
145.019,-37.8521
145.0149,-37.8542
145.0173,-37.8531
145.0104,-37.8597
145.0186,-37.8573
145.0198,-37.8596
145.0158,-37.8559
145.0207,-37.8512
145.0264,-37.8557
145.0211,-37.8616
145.0174,-37.8575
145.0219,-37.8549
145.0203,-37.8509
145.0186,-37.8573
145.0147,-37.8604
145.0156,-37.8593
145.0166,-37.8595
145.0173,-37.8554
145.0275,-37.8593
145.0275,-37.8572
145.0145,-37.8498
145.0183,-37.8618
145.016,-37.8574
145.0138,-37.8582
145.0135,-37.8542
145.0264,-37.8557
145.0173,-37.8531
145.0119,-37.8539
145.0195,-37.8611
145.0205,-37.8505
145.0264,-37.853
145.0208,-37.8509
145.0159,-37.8525
145.0271,-37.8611
145.0112,-37.8573
145.0113,-37.8549
145.0161,-37.8568
145.0222,-37.8626
145.0185,-37.8503
144.9296,-37.7799
144.9165,-37.7756
144.9195,-37.7777
144.9201,-37.7761
144.9149,-37.7783
144.9221,-37.7777
144.9015,-37.7736
144.9179,-37.7729
144.9089,-37.7758
144.9091,-37.775
144.9142,-37.7776
144.9184,-37.7721
144.9093,-37.7745
144.929,-37.7748
144.9208,-37.7756
144.91,-37.7759
144.9049,-37.773
144.9288,-37.7807
144.9206,-37.7731
144.924,-37.7774
144.9066,-37.7718
144.9166,-37.7761
144.9064,-37.7819
144.9345,-37.7738
144.9112,-37.7746
144.9186,-37.7774
144.9065,-37.7778
144.9143,-37.7766
144.9206,-37.7732
144.929,-37.7795
144.9146,-37.7725
144.9208,-37.7825
144.9074,-37.7731
144.9207,-37.781
144.905,-37.7855
144.9031,-37.7746
144.904,-37.7737
144.9094,-37.7723
144.9055,-37.7821
144.93200000000002,-37.775
144.9116,-37.7753
144.9136,-37.7791
144.9338,-37.7759
144.9303,-37.773
144.903,-37.782
144.9295,-37.78
144.914,-37.7791
144.9136,-37.7727
144.9114,-37.7765
144.906,-37.7742
144.9088,-37.7757
144.9191,-37.7734
144.9049,-37.7828
144.9261,-37.7778
144.9038,-37.7713
144.9088,-37.7712
144.9219,-37.7733
144.9141,-37.7786
144.9133,-37.7779
144.9035,-37.7744
144.9291,-37.7729
144.9137,-37.7749
144.9117,-37.7722
144.9187,-37.7766
144.9137,-37.7779
144.9169,-37.7728
144.9136,-37.7724
144.9185,-37.7766
144.9247,-37.78
144.928,-37.7774
144.9176,-37.777
144.9131,-37.7778
144.9163,-37.7722
144.9177,-37.7765
144.9074,-37.7731
144.9138,-37.7769
144.9055,-37.7727
144.9061,-37.7778
144.9042,-37.7778
144.9076,-37.7728
144.9217,-37.7816
144.9206,-37.7825
144.9285,-37.7807
144.9094,-37.7723
144.91,-37.7783
144.9277,-37.7766
144.91299999999998,-37.7775
144.9132,-37.7765
144.9125,-37.7767
144.9124,-37.7767
144.9223,-37.7768
144.9215,-37.7738
144.9297,-37.7792
144.9174,-37.7762
144.9118,-37.7772
144.9104,-37.7774
144.921,-37.7756
144.9105,-37.7756
145.0767,-37.8669
145.0688,-37.8673
145.0807,-37.8655
145.0714,-37.874
145.0895,-37.8675
145.0794,-37.8636
145.0822,-37.869
145.0676,-37.8666
145.0778,-37.8699
145.0786,-37.8685
145.0788,-37.8729
145.0858,-37.8612
145.0668,-37.8675
145.084,-37.8695
145.0751,-37.873000000000005
145.0741,-37.8738
145.0815,-37.8599
145.0806,-37.861
145.0817,-37.86
145.07,-37.8742
145.069,-37.8689
145.0695,-37.8737
145.0811,-37.8696
145.0884,-37.8628
145.0738,-37.8745
145.0699,-37.8742
145.0759,-37.8723
145.0796,-37.8598
145.0883,-37.8666
145.0857,-37.8709
145.0808,-37.8655
145.0833,-37.8605
145.07299999999998,-37.8714
145.0884,-37.866
145.0897,-37.8653
145.092,-37.8693
145.077,-37.8669
145.0765,-37.8599
145.0879,-37.8619
145.0774,-37.8703
145.0692,-37.872
145.08,-37.8693
145.0781,-37.8679
145.0758,-37.8724
145.0746,-37.8711
145.0798,-37.8624
145.0926,-37.8614
145.0772,-37.8664
145.0688,-37.8715
145.0797,-37.8645
145.0754,-37.8752
145.0903,-37.8636
145.1098,-37.8623
145.1082,-37.8693
145.1016,-37.8647
145.1092,-37.867
145.0968,-37.8639
145.0999,-37.8716
145.0944,-37.8694
145.1021,-37.8639
145.1023,-37.8647
145.1109,-37.8642
145.109,-37.8662
145.106,-37.8675
145.1109,-37.8651
145.1013,-37.8661
145.0972,-37.864000000000004
145.1126,-37.8621
145.0942,-37.868
145.1094,-37.8632
145.1107,-37.8651
145.1017,-37.8711
145.1021,-37.8621
145.1005,-37.861
145.096,-37.8655
145.1036,-37.8707
145.1024,-37.8637
145.0996,-37.8618
145.0962,-37.8696
145.107,-37.8676
145.1042,-37.8702
145.1019,-37.8611
145.0958,-37.8612
145.1117,-37.8671
145.1097,-37.8629
145.1034,-37.8613
145.102,-37.8709
145.1106,-37.8669
145.1082,-37.8683
145.1038,-37.858000000000004
145.1103,-37.87
145.1096,-37.8655
145.10299999999998,-37.8613
145.106,-37.8575
145.1021,-37.8633
145.1098,-37.8614
145.1025,-37.8597
145.1089,-37.8723
145.0926,-37.8688
144.8674,-37.7677
144.8611,-37.7634
144.8572,-37.77
144.8713,-37.7604
144.8629,-37.7706
144.859,-37.7676
144.8655,-37.7654
144.871,-37.7593
144.8736,-37.7545
144.8581,-37.7605
144.8601,-37.7637
144.8542,-37.7591
144.8613,-37.7704
144.8729,-37.7537
144.8576,-37.7721
144.8622,-37.7632
144.8534,-37.7519
144.8714,-37.7524
144.8561,-37.7612
144.8766,-37.7532
144.8613,-37.7623
144.8662,-37.7699
144.862,-37.7627
144.857,-37.7627
144.85399999999998,-37.751999999999995
144.8657,-37.7644
144.8583,-37.7664
144.86,-37.758
144.8592,-37.7681
144.8576,-37.7686
144.8657,-37.7697
144.8518,-37.7522
144.8615,-37.7639
144.8575,-37.7691
144.8639,-37.7609
144.8603,-37.7642
144.8586,-37.771
144.8641,-37.756
144.8633,-37.7649
144.8576,-37.7507
144.8681,-37.7592
144.8596,-37.766
144.8578,-37.765
144.8571,-37.751
144.8572,-37.7568
144.8534,-37.7573
144.863,-37.7608
144.859,-37.7513
144.8601,-37.7563
144.8581,-37.7607
144.8566,-37.757
144.8575,-37.7644
144.8568,-37.7584
144.8572,-37.7567
144.8585,-37.7546
144.857,-37.7546
144.9928,-37.8668
144.9958,-37.8731
144.9948,-37.8742
144.997,-37.8733
144.9961,-37.8723
144.9941,-37.8718
144.9979,-37.8725
144.9952,-37.8725
144.9972,-37.8742
144.9962,-37.8726
144.9952,-37.8712
144.9948,-37.8663
144.9966,-37.8678
144.9974,-37.8691
144.9917,-37.8667
144.9933,-37.874
144.9909,-37.872
144.9931,-37.8703
144.9969,-37.8727
144.9925,-37.8696
144.9907,-37.873000000000005
144.9929,-37.8739
145.0934,-37.8053
145.0807,-37.8094
145.0958,-37.811
145.0975,-37.8128
145.0812,-37.8161
145.0768,-37.8028
145.0748,-37.8147
145.0764,-37.8085
145.0908,-37.8071
145.0916,-37.8124
145.1016,-37.8051
145.0972,-37.8134
145.0801,-37.8061
145.0744,-37.8148
145.0778,-37.8092
145.0771,-37.8162
145.0635,-37.806999999999995
145.0708,-37.8048
145.1013,-37.8079
145.0843,-37.8152
145.0788,-37.8056
145.0826,-37.8074
145.096,-37.8078
145.0743,-37.8098
145.0901,-37.8125
145.065,-37.8065
145.0699,-37.8055
145.0841,-37.8162
145.0966,-37.814
145.0806,-37.8116
145.0693,-37.8032
145.0724,-37.8116
145.0993,-37.8144
145.0775,-37.8125
145.0814,-37.8062
145.0652,-37.8013
145.1006,-37.8044
145.0881,-37.8112
145.0991,-37.8088
145.0849,-37.8125
145.0705,-37.8063
145.0735,-37.8096
145.1042,-37.8042
145.0795,-37.8157
145.0879,-37.8122
145.0878,-37.8061
145.0793,-37.8057
145.07399999999998,-37.8127
145.0995,-37.8118
145.0775,-37.8117
145.0786,-37.8068
145.0874,-37.8134
145.0778,-37.8055
145.0789,-37.8116
145.0839,-37.8152
145.0827,-37.8068
145.0821,-37.8123
145.0772,-37.8161
145.0743,-37.81
145.0848,-37.8106
145.0715,-37.8036
145.0728,-37.8145
145.0853,-37.8044
145.08100000000002,-37.8134
145.0643,-37.8046
145.0766,-37.806999999999995
145.0892,-37.8103
145.0892,-37.8101
145.0665,-37.8025
145.0714,-37.8039
145.0692,-37.8068
145.102,-37.808
145.0747,-37.8149
145.0789,-37.8092
145.0865,-37.8114
145.076,-37.815
145.0737,-37.8141
145.0995,-37.8135
145.0782,-37.8095
145.0892,-37.8124
145.0694,-37.8027
145.0804,-37.8166
145.071,-37.8056
145.084,-37.8147
145.0915,-37.806
145.0984,-37.814
145.0747,-37.8083
145.0771,-37.8054
145.1,-37.8131
145.0846,-37.8164
145.0711,-37.8055
145.0737,-37.8145
145.0743,-37.8058
145.0631,-37.8039
145.0825,-37.8057
145.0799,-37.8136
145.0802,-37.8093
145.0748,-37.8161
145.0831,-37.8119
145.0688,-37.8056
145.0741,-37.8108
145.0882,-37.8058
145.0809,-37.8161
145.0768,-37.8028
145.0797,-37.8167
145.0627,-37.8058
145.0636,-37.8037
145.0876,-37.812
145.1024,-37.8077
145.0748,-37.8049
145.1011,-37.8075
145.0781,-37.8058
145.0863,-37.8113
145.0792,-37.8099
145.1016,-37.8092
145.1021,-37.7966
145.0789,-37.7939
145.0892,-37.8014
145.085,-37.7912
145.1029,-37.7923
145.0868,-37.7917
145.0907,-37.7907
145.0726,-37.7988
145.0949,-37.8002
145.0955,-37.7989
145.0883,-37.799
145.0788,-37.7906
145.1035,-37.7947
145.0846,-37.8028
145.0732,-37.7938
145.0918,-37.7856
145.0781,-37.7862
145.0787,-37.7959
145.1028,-37.7944
145.0838,-37.7954
145.0722,-37.7954
145.0905,-37.7863
145.0974,-37.7851
145.0951,-37.804
145.079,-37.7898
145.092,-37.7893
145.084,-37.7825
145.0932,-37.7903
145.0957,-37.7851
145.0985,-37.8021
145.0913,-37.8044
145.1007,-37.798
145.1007,-37.8032
145.1003,-37.7904
145.0878,-37.784
145.0688,-37.7982
145.0775,-37.7851
145.0843,-37.8025
145.0987,-37.7859
145.1037,-37.7977
145.1002,-37.8007
145.0907,-37.7822
145.0672,-37.7933
145.0797,-37.802
145.0693,-37.7862
145.0665,-37.7893
145.0891,-37.7843
145.0904,-37.7981
145.0926,-37.783
145.083,-37.7943
145.0953,-37.7841
145.0716,-37.7975
145.1042,-37.7941
145.10399999999998,-37.8008
145.0805,-37.7949
145.0843,-37.7871
145.0976,-37.8023
145.0677,-37.7868
145.1019,-37.794000000000004
145.0962,-37.7956
145.1006,-37.7928
145.0667,-37.7945
145.0865,-37.7935
145.0672,-37.7971
145.0779,-37.7832
145.1014,-37.7949
145.0709,-37.7986
145.0967,-37.7898
145.0904,-37.7889
145.0798,-37.787
145.0916,-37.7907
145.0984,-37.796
145.0696,-37.7951
145.0649,-37.7965
145.086,-37.7964
145.0829,-37.7956
145.0933,-37.7822
145.0907,-37.7992
145.0676,-37.7956
145.089,-37.7988
145.0917,-37.7859
145.086,-37.797
145.0854,-37.7885
145.0816,-37.7982
145.1048,-37.7926
145.0929,-37.7879
145.0999,-37.8002
145.101,-37.7908
145.067,-37.7945
145.0649,-37.7941
145.0883,-37.7835
145.0788,-37.7987
145.0686,-37.7942
145.0684,-37.7976
145.0986,-37.8005
145.0836,-37.7967
145.0859,-37.7961
145.0873,-37.7968
145.0903,-37.7982
145.089,-37.7988
145.1018,-37.7905
145.0694,-37.7955
145.0696,-37.796
145.0718,-37.7867
145.0679,-37.7935
145.0793,-37.7831
145.0775,-37.8022
145.0793,-37.7907
145.0935,-37.7846
145.079,-37.8028
145.0797,-37.7867
145.0675,-37.7938
145.0984,-37.8012
145.0953,-37.7841
145.0796,-37.7905
145.0943,-37.7868
145.0812,-37.7869
145.0796,-37.7832
145.0671,-37.7948
145.0712,-37.7953
145.0921,-37.8022
145.0959,-37.7996
145.0831,-37.7879
145.0881,-37.7908
145.0882,-37.7882
145.09799999999998,-37.7853
145.0993,-37.7997
145.0921,-37.7842
145.0996,-37.793
145.0869,-37.7854
145.079,-37.7879
145.0954,-37.7839
145.0886,-37.786
145.1035,-37.7992
145.0828,-37.8028
145.0839,-37.7982
145.0889,-37.7817
145.0663,-37.7935
145.0808,-37.7961
145.0985,-37.7895
145.0677,-37.7868
145.1021,-37.7898
145.1029,-37.7923
145.06799999999998,-37.7994
145.092,-37.7893
145.0731,-37.795
145.0961,-37.7975
145.0991,-37.7908
145.0912,-37.7909
145.07,-37.8002
145.0707,-37.7985
145.0697,-37.7936
145.0869,-37.7993
145.0838,-37.7938
145.0666,-37.7938
145.0796,-37.7903
145.0862,-37.7998
145.0747,-37.7866
145.0259,-37.9165
145.046,-37.925
145.0479,-37.9273
145.043,-37.9336
145.0479,-37.9207
145.0449,-37.9305
145.0428,-37.9311
145.0443,-37.9204
145.0406,-37.9272
145.0502,-37.9232
145.0401,-37.9155
145.0421,-37.9172
145.0302,-37.922
145.047,-37.9269
145.0254,-37.9149
145.045,-37.9332
145.0337,-37.9278
145.04,-37.9263
145.0314,-37.9166
145.0263,-37.9134
145.0474,-37.9318
145.0287,-37.9247
145.0315,-37.9253
145.0477,-37.9199
145.0472,-37.9321
145.0481,-37.9344
145.0353,-37.9221
145.0472,-37.9291
145.031,-37.9279
145.0494,-37.9252
145.043,-37.9267
145.0356,-37.9148
145.0438,-37.9193
145.0376,-37.9243
145.0341,-37.9292
145.0389,-37.9233
145.0336,-37.9245
145.0504,-37.924
145.0251,-37.9132
145.0464,-37.929
145.0441,-37.9155
145.0379,-37.9158
145.048,-37.9259
145.031,-37.9274
145.0252,-37.9149
145.0497,-37.9256
145.0324,-37.9163
145.0387,-37.9326
145.0367,-37.9282
145.048,-37.9203
145.0454,-37.9316
145.0469,-37.9317
145.0441,-37.9326
145.0466,-37.933
145.0461,-37.9187
145.0501,-37.9256
145.0476,-37.9228
145.0467,-37.9148
145.0469,-37.9149
145.0374,-37.9256
145.0411,-37.921
145.0244,-37.9152
145.0461,-37.9287
145.0495,-37.9286
145.0501,-37.9257
145.0359,-37.9173
145.0352,-37.9317
145.0429,-37.9284
145.0478,-37.9289
145.04,-37.9168
145.0445,-37.9315
145.0501,-37.9239
145.0505,-37.9215
145.0462,-37.9224
145.0383,-37.9246
145.0375,-37.929
145.0444,-37.9307
145.0337,-37.9161
145.0243,-37.9148
145.0481,-37.9289
145.0413,-37.9178
145.0243,-37.9155
145.047,-37.9282
145.0336,-37.9245
145.0315,-37.9217
145.0401,-37.9144
145.0284,-37.9161
145.0301,-37.9155
145.0395,-37.9139
145.0379,-37.9307
145.0341,-37.9259
145.0464,-37.9245
145.041,-37.9294
145.0422,-37.9263
145.04399999999998,-37.9181
145.0301,-37.9156
145.0404,-37.9148
145.0401,-37.9315
145.0383,-37.9206
145.0324,-37.9273
145.048,-37.9241
145.0511,-37.9178
145.0491,-37.9291
145.0285,-37.9159
145.0243,-37.9155
145.0484,-37.9193
145.039,-37.9159
145.0684,-37.9167
145.0547,-37.9305
145.0566,-37.9261
145.0763,-37.9237
145.0796,-37.9255
145.0586,-37.9181
145.0602,-37.9333
145.0556,-37.9198
145.0723,-37.9155
145.0545,-37.9143
145.0847,-37.9113
145.0774,-37.9135
145.0719,-37.9166
145.0717,-37.9174
145.0557,-37.9229
145.0547,-37.9244
145.0533,-37.9234
145.0842,-37.91
145.0659,-37.9193
145.0771,-37.9167
145.0623,-37.933
145.0808,-37.9262
145.069,-37.9168
145.0802,-37.9157
145.0644,-37.9272
145.0782,-37.9132
145.0546,-37.9347
145.0714,-37.914
145.0705,-37.9119
145.0688,-37.9358
145.0668,-37.9284
145.0757,-37.9209
145.0674,-37.9212
145.0537,-37.9232
145.0568,-37.9069
145.0685,-37.9309
145.066,-37.9231
145.0629,-37.9224
145.055,-37.9262
145.0747,-37.9223
145.0804,-37.9272
145.0757,-37.9256
145.082,-37.9252
145.0709,-37.9102
145.0528,-37.9205
145.0709,-37.9186
145.0663,-37.9352
145.0792,-37.9244
145.0539,-37.9241
145.0612,-37.925
145.0681,-37.9082
145.0776,-37.9126
145.0795,-37.9312
145.0587,-37.9066
145.0707,-37.9153
145.0507,-37.9245
145.0765,-37.9164
145.0607,-37.9218
145.0702,-37.9366
145.0535,-37.9177
145.0813,-37.9092
145.0733,-37.9159
145.071,-37.9183
145.0781,-37.9239
145.0581,-37.9333
145.0558,-37.9227
145.0791,-37.9198
145.0733,-37.9219
145.0648,-37.9273
145.0667,-37.9334
145.0779,-37.9174
145.0726,-37.9099
145.0805,-37.9303
145.0737,-37.9371
145.0551,-37.926
145.0607,-37.9343
145.071,-37.9179
145.072,-37.9111
145.0691,-37.9196
145.0742,-37.9173
145.0735,-37.9257
145.056,-37.9141
145.0634,-37.9348
145.0738,-37.9112
145.0695,-37.9117
145.056,-37.9217
145.08100000000002,-37.9278
145.0657,-37.9293
145.069,-37.9286
145.0829,-37.919000000000004
145.0691,-37.9193
145.0617,-37.9329
145.0527,-37.9228
145.0562,-37.9252
145.05700000000002,-37.9197
145.0599,-37.9073
145.0547,-37.906
145.0665,-37.9244
145.0809,-37.9168
145.0598,-37.9299
145.0844,-37.9115
145.0787,-37.9198
145.075,-37.9191
145.0624,-37.9262
145.0676,-37.9149
145.0534,-37.9117
145.0788,-37.9149
145.0507,-37.9347
145.0582,-37.9144
145.0787,-37.9269
145.0534,-37.9226
145.0555,-37.9195
145.0566,-37.9176
145.0751,-37.9369
145.0792,-37.9287
145.0545,-37.9198
145.0678,-37.9122
145.0542,-37.9316
145.0707,-37.9079
145.0645,-37.9147
145.0772,-37.925
145.0786,-37.9272
145.0837,-37.9133
145.0789,-37.9198
145.0553,-37.9193
145.0683,-37.9085
145.0685,-37.9079
145.0541,-37.9066
145.0537,-37.9087
145.0815,-37.9178
145.0767,-37.9146
145.0533,-37.9256
145.0527,-37.9349
145.0763,-37.9241
145.053,-37.9329
145.0592,-37.9179
145.0705,-37.9242
145.0765,-37.9113
145.0654,-37.9274
145.0577,-37.9324
145.0674,-37.9233
145.0563,-37.9232
145.0708,-37.9292
145.0773,-37.9245
145.0598,-37.9129
145.0808,-37.9314
145.0774,-37.9138
145.0649,-37.9268
145.075,-37.9258
145.0843,-37.9096
145.0691,-37.9362
145.08,-37.9142
145.0754,-37.9225
145.0629,-37.9143
145.0752,-37.912
145.0531,-37.9307
145.0801,-37.9272
145.0754,-37.9185
145.0686,-37.9116
145.0811,-37.9257
145.0705,-37.9272
145.0619,-37.9315
145.0669,-37.9281
145.0776,-37.916
145.0751,-37.9147
145.0502,-37.9289
145.0557,-37.9135
145.0842,-37.9096
145.0616,-37.9233
145.0673,-37.9229
145.061,-37.9075
145.0563,-37.9218
145.07299999999998,-37.9216
145.0598,-37.9107
145.053,-37.9218
145.0794,-37.9108
145.0616,-37.9234
145.0668,-37.9241
145.0606,-37.9212
145.063,-37.9295
145.0699,-37.9143
145.0799,-37.9162
145.0737,-37.9286
145.0645,-37.927
145.0771,-37.9251
145.0784,-37.9376
145.0779,-37.9163
145.0565,-37.9213
145.0586,-37.9181
145.0584,-37.9189
145.0786,-37.9129
145.0787,-37.9159
145.07,-37.9131
145.0726,-37.9374
145.0649,-37.9364
145.0527,-37.9237
145.0757,-37.9207
145.067,-37.9178
145.0545,-37.9236
145.0545,-37.9352
145.0572,-37.9351
145.0716,-37.908
145.0694,-37.9325
145.0558,-37.919000000000004
145.0538,-37.9291
145.135,-37.8151
145.1216,-37.8135
145.1299,-37.8271
145.129,-37.826
145.1215,-37.828
145.1306,-37.8274
145.1302,-37.8256
145.129,-37.8229
145.1267,-37.8233
145.1298,-37.8156
145.1323,-37.8188
145.1216,-37.8257
145.1298,-37.8275
145.1246,-37.8258
145.1262,-37.8241
145.1373,-37.8167
145.1218,-37.8135
145.1274,-37.8274
145.127,-37.8216
145.1301,-37.8282
145.1209,-37.827
145.1319,-37.8287
145.1272,-37.8285
145.1276,-37.8235
145.1281,-37.8247
145.1149,-37.8193
145.1262,-37.8143
145.1319,-37.8244
145.1232,-37.8275
145.1354,-37.818000000000005
145.1354,-37.8166
145.1217,-37.8241
145.1214,-37.8215
145.1336,-37.8241
145.1215,-37.8166
145.1206,-37.8247
145.1343,-37.8171
145.1235,-37.8234
145.121,-37.8279
145.1289,-37.8273
145.1281,-37.8261
145.1215,-37.8248
145.1248,-37.8264
145.1242,-37.8274
145.121,-37.8245
145.1238,-37.8257
145.1337,-37.8173
145.1269,-37.8246
145.1195,-37.8283
145.1355,-37.8154
145.1305,-37.8269
145.1328,-37.8198
145.1205,-37.8253
145.1316,-37.8264
144.8478,-37.7803
144.8469,-37.7824
144.8524,-37.7839
144.8561,-37.785
144.8517,-37.7851
144.8481,-37.7804
