region,fiscal_year,value,agent,method,suburb
Eastern Metropolitan,2017,975000,Morrison,S,Eltham
Eastern Metropolitan,2017,805000,Barry,S,Eltham
Eastern Metropolitan,2017,770000,Barry,S,Eltham North
Southern Metropolitan,2017,425000,hockingstuart,S,Elwood
Northern Metropolitan,2017,940000,Iconek,SP,Epping
Northern Metropolitan,2017,437000,hockingstuart,S,Epping
Northern Metropolitan,2017,660000,hockingstuart,S,Epping
Western Metropolitan,2017,1325000,McDonald,S,Essendon
Western Metropolitan,2017,310000,Considine,S,Essendon
Western Metropolitan,2017,864000,Brad,S,Essendon
Western Metropolitan,2017,291000,Nelson,S,Essendon
Western Metropolitan,2017,750000,Brad,VB,Essendon West
Western Metropolitan,2017,2200000,Nelson,VB,Essendon West
South-Eastern Metropolitan,2017,515000,Purplebricks,S,Eumemmerring
South-Eastern Metropolitan,2017,580000,Barry,S,Eumemmerring
Northern Metropolitan,2017,1550000,Jellis,S,Fairfield
Northern Metropolitan,2017,672000,Barry,S,Fawkner
Northern Metropolitan,2017,720000,Barry,S,Fawkner
Eastern Metropolitan,2017,414000,Ray,S,Ferntree Gully
Northern Metropolitan,2017,1350000,Nelson,VB,Fitzroy North
Northern Metropolitan,2017,1852000,Jellis,S,Fitzroy North
Northern Metropolitan,2017,1100000,Woodards,S,Fitzroy North
Western Metropolitan,2017,815000,Nelson,S,Footscray
Western Metropolitan,2017,170000,Burnham,PI,Footscray
Eastern Metropolitan,2017,1372000,Ray,S,Forest Hill
Eastern Metropolitan,2017,850500,Noel,S,Forest Hill
South-Eastern Metropolitan,2017,400000,O'Brien,S,Frankston
South-Eastern Metropolitan,2017,640000,hockingstuart,S,Frankston
Eastern Victoria,2017,611000,Ray,S,Frankston North
South-Eastern Metropolitan,2017,755000,hockingstuart,S,Frankston South
Northern Victoria,2017,521000,Raine,SP,Gisborne
Western Metropolitan,2017,625000,YPA,S,Gladstone Park
Western Metropolitan,2017,650000,YPA,SP,Gladstone Park
Southern Metropolitan,2017,1910000,hockingstuart,S,Glen Iris
Southern Metropolitan,2017,1900000,Jellis,VB,Glen Iris
Southern Metropolitan,2017,500000,Thomson,PI,Glen Iris
Southern Metropolitan,2017,523000,Thomson,S,Glen Iris
Eastern Metropolitan,2017,1250000,Ray,S,Glen Waverley
Northern Metropolitan,2017,460000,Barry,S,Glenroy
Northern Metropolitan,2017,600000,Barry,SA,Glenroy
Northern Metropolitan,2017,595000,Eview,S,Glenroy
Northern Metropolitan,2017,525000,Jellis,S,Glenroy
Northern Metropolitan,2017,847000,Barry,SP,Glenroy
Northern Metropolitan,2017,990000,Darren,S,Greensborough
Northern Metropolitan,2017,645000,hockingstuart,S,Greensborough
Northern Metropolitan,2017,880000,Buckingham,VB,Greensborough
Northern Metropolitan,2017,695000,Darren,S,Greensborough
Northern Metropolitan,2017,630000,YPA,SP,Greenvale
Northern Metropolitan,2017,500000,Harcourts,S,Hadfield
South-Eastern Metropolitan,2017,662500,O'Brien,S,Hallam
Southern Metropolitan,2017,1210000,Chisholm,SP,Hampton
Southern Metropolitan,2017,1910000,Buxton,PI,Hampton
Southern Metropolitan,2017,1140000,McGrath,S,Hampton East
Southern Metropolitan,2017,395000,Peter,S,Hawthorn
Southern Metropolitan,2017,1000000,Jellis,S,Hawthorn
Southern Metropolitan,2017,450000,LITTLE,S,Hawthorn
Southern Metropolitan,2017,2900000,Jellis,S,Hawthorn
Southern Metropolitan,2017,820000,Jellis,S,Hawthorn
Southern Metropolitan,2017,450000,Jellis,PI,Hawthorn
Northern Victoria,2017,650000,McGrath,SP,Healesville
Eastern Metropolitan,2017,790000,Miles,S,Heidelberg Heights
Eastern Metropolitan,2017,780000,Barry,VB,Heidelberg Heights
Eastern Metropolitan,2017,726500,William,S,Heidelberg West
Eastern Metropolitan,2017,710000,William,S,Heidelberg West
Southern Metropolitan,2017,645000,Hodges,S,Highett
Western Metropolitan,2017,650500,YPA,SP,Hillside
Western Metropolitan,2017,471000,Triwest,S,Hoppers Crossing
Western Metropolitan,2017,683000,hockingstuart,S,Hoppers Crossing
Western Metropolitan,2017,440000,Triwest,S,Hoppers Crossing
Southern Metropolitan,2017,750000,Ray,S,Huntingdale
Northern Metropolitan,2017,650000,YPA,PI,Jacana
Northern Metropolitan,2017,390000,YPA,S,Jacana
Western Metropolitan,2017,506000,O'Brien,S,Keilor Downs
Western Metropolitan,2017,810000,Bells,S,Keilor Downs
Western Metropolitan,2017,735000,Brad,SP,Keilor Downs
Western Metropolitan,2017,595000,Barry,SP,Keilor Downs
Western Metropolitan,2017,605000,Barry,S,Keilor Downs
Western Metropolitan,2017,520000,Whiting,VB,Keilor East
Western Metropolitan,2017,640000,Barry,PI,Keilor Lodge
Northern Metropolitan,2017,967000,Edward,S,Kensington
Northern Metropolitan,2017,850000,Nelson,VB,Kensington
Northern Metropolitan,2017,500000,Nelson,VB,Kensington
Northern Metropolitan,2017,535000,Edward,SP,Kensington
Southern Metropolitan,2017,758000,Jellis,S,Kew
Southern Metropolitan,2017,975000,Marshall,PI,Kew
Southern Metropolitan,2017,862000,Jellis,S,Kew East
South-Eastern Metropolitan,2017,965000,Ray,S,Keysborough
South-Eastern Metropolitan,2017,761000,Barry,S,Keysborough
Western Metropolitan,2017,520000,Bells,PI,Kings Park
Western Metropolitan,2017,530000,YPA,SP,Kings Park
Western Metropolitan,2017,1020000,Village,S,Kingsville
Western Metropolitan,2017,210000,Jas,PI,Kingsville
Northern Metropolitan,2017,750000,Ray,S,Lalor
Northern Metropolitan,2017,635000,Harcourts,S,Lalor
Northern Metropolitan,2017,410000,Harcourts,S,Lalor
Northern Metropolitan,2017,675000,Harcourts,SP,Lalor
Eastern Metropolitan,2017,880000,Barry,S,Lower Plenty
South-Eastern Metropolitan,2017,597500,Stockdale,S,Lynbrook
Northern Metropolitan,2017,640000,Darren,S,MacLeod
Western Metropolitan,2017,280000,McGrath,VB,Maidstone
Western Metropolitan,2017,520000,Jas,S,Maidstone
Western Metropolitan,2017,895000,Rendina,S,Maidstone
Western Metropolitan,2017,660000,Biggin,PI,Maidstone
Southern Metropolitan,2017,2110000,Jellis,S,Malvern East
Western Metropolitan,2017,1050000,Brad,PI,Maribyrnong
Western Victoria,2017,320000,Raine,SP,Melton
Western Victoria,2017,480000,PRDNationwide,SP,Melton
Western Victoria,2017,365000,Raine,S,Melton South
South-Eastern Metropolitan,2017,705000,Ray,S,Mentone
Northern Metropolitan,2017,670000,Harcourts,S,Mernda
Northern Metropolitan,2017,520500,RW,S,Mernda
Northern Metropolitan,2017,460000,Love,S,Mill Park
Northern Metropolitan,2017,610000,Ray,S,Mill Park
Eastern Metropolitan,2017,950000,Noel,S,Mitcham
Eastern Metropolitan,2017,715000,Jellis,S,Mitcham
Eastern Metropolitan,2017,970000,Noel,VB,Mitcham
Eastern Metropolitan,2017,2200000,Marshall,SP,Mont Albert
Eastern Metropolitan,2017,2320000,Jellis,S,Mont Albert
Eastern Metropolitan,2017,2752000,Nelson,S,Mont Albert
Eastern Metropolitan,2017,655000,Ray,S,Montmorency
Eastern Metropolitan,2017,960000,Fletchers,PI,Montmorency
Western Metropolitan,2017,1810000,Jellis,S,Moonee Ponds
Western Metropolitan,2017,1020000,Jellis,S,Moonee Ponds
Western Metropolitan,2017,1250000,Nelson,S,Moonee Ponds
Southern Metropolitan,2017,1175000,Buxton,PI,Moorabbin
South-Eastern Metropolitan,2017,800000,Ray,PI,Mordialloc
South-Eastern Metropolitan,2017,1225000,O'Brien,S,Mordialloc
Eastern Metropolitan,2017,1200000,hockingstuart,PI,Mount Waverley
Eastern Metropolitan,2017,1205000,McGrath,S,Mount Waverley
Eastern Metropolitan,2017,1720000,Ray,S,Mount Waverley
Eastern Metropolitan,2017,1600000,Jellis,S,Mount Waverley
Eastern Metropolitan,2017,944000,Jellis,S,Mount Waverley
Eastern Metropolitan,2017,1385000,Ray,S,Mount Waverley
Eastern Metropolitan,2017,1280000,Buxton,S,Mount Waverley
Eastern Metropolitan,2017,2000000,Fletchers,VB,Mount Waverley
South-Eastern Metropolitan,2017,650000,O'Brien,SP,Narre Warren
South-Eastern Metropolitan,2017,655000,Only,SP,Narre Warren
South-Eastern Metropolitan,2017,580000,O'Brien,SP,Narre Warren
Western Metropolitan,2017,710000,Williams,S,Newport
Western Metropolitan,2017,335000,Jas,SP,Newport
Western Metropolitan,2017,1330000,RT,S,Newport
South-Eastern Metropolitan,2017,466500,Leyton,S,Noble Park
Northern Metropolitan,2017,550000,Nelson,S,North Melbourne
Northern Metropolitan,2017,962000,Alexkarbon,S,North Melbourne
Northern Metropolitan,2017,936000,Jellis,S,North Melbourne
Northern Metropolitan,2017,580000,Alexkarbon,VB,North Melbourne
Northern Metropolitan,2017,1900000,Jellis,PI,Northcote
Northern Metropolitan,2017,1605000,Nelson,S,Northcote
Northern Metropolitan,2017,1415000,Woodards,S,Northcote
Northern Metropolitan,2017,390000,Ray,S,Northcote
Eastern Metropolitan,2017,637000,Ray,S,Nunawading
Eastern Metropolitan,2017,1100000,Fletchers,S,Nunawading
Eastern Metropolitan,2017,926000,Fletchers,S,Nunawading
Northern Metropolitan,2017,610000,Nelson,S,Oak Park
Northern Metropolitan,2017,700000,Nelson,VB,Oak Park
Southern Metropolitan,2017,1525000,Ray,S,Oakleigh East
Southern Metropolitan,2017,1900000,Ray,PI,Oakleigh East
Southern Metropolitan,2017,454000,Ray,S,Ormond
Southern Metropolitan,2017,562000,Gary,S,Ormond
South-Eastern Metropolitan,2017,1000000,Obrien,S,Parkdale
South-Eastern Metropolitan,2017,985000,Maitland,S,Parkdale
South-Eastern Metropolitan,2017,820000,Thomson,S,Parkdale
Northern Metropolitan,2017,870000,Ray,PI,Pascoe Vale
Northern Metropolitan,2017,800000,Barry,SP,Pascoe Vale
Northern Metropolitan,2017,1501000,Jellis,S,Pascoe Vale
Northern Metropolitan,2017,1663000,Nelson,S,Pascoe Vale
Northern Metropolitan,2017,780000,Brad,VB,Pascoe Vale
Western Metropolitan,2017,660000,Reliance,S,Point Cook
Western Metropolitan,2017,663500,hockingstuart,S,Point Cook
Southern Metropolitan,2017,1631000,Cayzer,S,Port Melbourne
Southern Metropolitan,2017,1665000,Greg,S,Port Melbourne
Southern Metropolitan,2017,2450000,Lucas,VB,Port Melbourne
Southern Metropolitan,2017,399000,Jellis,S,Prahran
Southern Metropolitan,2017,1240000,Rounds,S,Prahran
Northern Metropolitan,2017,727500,Nelson,S,Preston
Northern Metropolitan,2017,965000,hockingstuart,S,Preston
Northern Metropolitan,2017,2530000,Nelson,S,Princes Hill
Northern Metropolitan,2017,1930000,hockingstuart,S,Princes Hill
Northern Metropolitan,2017,840000,RW,SP,Reservoir
Northern Metropolitan,2017,560000,Barry,S,Reservoir
Northern Metropolitan,2017,900000,Stockdale,SP,Reservoir
Northern Metropolitan,2017,680500,Ray,S,Reservoir
Northern Metropolitan,2017,902000,Barry,S,Reservoir
Northern Metropolitan,2017,825000,RW,S,Reservoir
Northern Metropolitan,2017,801000,Love,SP,Reservoir
Northern Metropolitan,2017,668500,Nelson,S,Reservoir
Northern Metropolitan,2017,1165000,Biggin,S,Richmond
Northern Metropolitan,2017,390000,Harcourts,PI,Richmond
Northern Metropolitan,2017,890500,Biggin,SP,Richmond
Northern Metropolitan,2017,1310000,Biggin,S,Richmond
Northern Metropolitan,2017,458000,Biggin,S,Richmond
Northern Metropolitan,2017,1442000,Biggin,S,Richmond
Northern Metropolitan,2017,2200000,Biggin,PI,Richmond
Eastern Metropolitan,2017,750000,Purplebricks,VB,Ringwood
Eastern Metropolitan,2017,560000,Barry,S,Ringwood East
Western Metropolitan,2017,340000,YPA,SP,Rockbank
Eastern Metropolitan,2017,1101000,Miles,S,Rosanna
South-Eastern Metropolitan,2017,870000,Harcourts,S,Rowville
Northern Metropolitan,2017,420000,Raine,S,Roxburgh Park
Southern Metropolitan,2017,643500,hockingstuart,S,Sandringham
Western Metropolitan,2017,625000,hockingstuart,S,Seabrook
South-Eastern Metropolitan,2017,610000,Harcourts,S,Seaford
South-Eastern Metropolitan,2017,565000,Harcourts,S,Seaford
South-Eastern Metropolitan,2017,572000,O'Brien,S,Seaford
Western Metropolitan,2017,1090000,Greg,S,Seaholme
Western Metropolitan,2017,455000,hockingstuart,SP,Seaholme
Western Metropolitan,2017,750000,Jas,S,Seddon
Western Metropolitan,2017,850000,Village,VB,Seddon
South-Eastern Metropolitan,2017,640000,hockingstuart,VB,Skye
Southern Metropolitan,2017,1030000,Cayzer,S,South Melbourne
Northern Metropolitan,2017,600000,Millership,PI,South Morang
Northern Metropolitan,2017,386000,Millership,S,South Morang
Southern Metropolitan,2017,857000,LITTLE,S,South Yarra
Southern Metropolitan,2017,1160000,Jellis,S,South Yarra
Southern Metropolitan,2017,1235000,Jellis,S,South Yarra
South-Eastern Metropolitan,2017,752500,iSell,S,Springvale
Western Metropolitan,2017,565000,Bells,S,St Albans
Western Metropolitan,2017,500000,YPA,SP,St Albans
Western Metropolitan,2017,610000,YPA,PI,St Albans
Western Metropolitan,2017,445000,YPA,SP,St Albans
Eastern Metropolitan,2017,801000,Darren,S,St Helena
Southern Metropolitan,2017,350000,Gary,VB,St Kilda
Southern Metropolitan,2017,525000,hockingstuart,S,St Kilda
Southern Metropolitan,2017,517500,Woodards,SP,St Kilda
Southern Metropolitan,2017,365000,Rounds,VB,St Kilda
Southern Metropolitan,2017,460000,LITTLE,SP,St Kilda
Western Metropolitan,2017,1725000,Brad,PI,Strathmore
Western Metropolitan,2017,646000,Nelson,S,Strathmore
Western Metropolitan,2017,1190000,Nelson,PI,Strathmore
Western Metropolitan,2017,635500,Considine,S,Strathmore Heights
Western Metropolitan,2017,580000,Raine,S,Sunbury
Western Metropolitan,2017,413000,L,S,Sunbury
Western Metropolitan,2017,420000,Raine,S,Sunbury
Western Metropolitan,2017,650000,YPA,S,Sunbury
Western Metropolitan,2017,525000,McGrath,S,Sunshine
Western Metropolitan,2017,780000,FN,SA,Sunshine North
Western Metropolitan,2017,765000,Douglas,S,Sunshine West
Southern Metropolitan,2017,1420000,Fletchers,PI,Surrey Hills
Southern Metropolitan,2017,2100000,Jellis,VB,Surrey Hills
Southern Metropolitan,2017,1385000,Fletchers,S,Surrey Hills
Western Metropolitan,2017,417000,Bells,S,Sydenham
Western Metropolitan,2017,810000,hockingstuart,VB,Tarneit
Western Metropolitan,2017,451500,Reliance,S,Tarneit
Western Metropolitan,2017,526000,Purplebricks,S,Tarneit
Western Metropolitan,2017,605500,YPA,S,Taylors Hill
Western Metropolitan,2017,500000,Brad,PI,Taylors Lakes
Western Metropolitan,2017,427500,Ray,S,Taylors Lakes
Eastern Victoria,2017,855000,Harcourts,SP,Tecoma
Eastern Metropolitan,2017,1705000,hockingstuart,PI,Templestowe Lower
Eastern Metropolitan,2017,551200,iTRAK,SP,The Basin
Northern Metropolitan,2017,542000,Ray,S,Thomastown
Northern Metropolitan,2017,2070000,Jellis,SP,Thornbury
Southern Metropolitan,2017,2800000,Marshall,S,Toorak
Western Metropolitan,2017,385000,Reliance,SP,Truganina
Western Metropolitan,2017,500000,Jason,SP,Tullamarine
Western Metropolitan,2017,821000,Jason,S,Tullamarine
Eastern Metropolitan,2017,917000,Noel,S,Vermont
Eastern Metropolitan,2017,1115000,Miles,S,Viewbank
Eastern Metropolitan,2017,905000,Miles,SP,Viewbank
Eastern Metropolitan,2017,450000,Prof.,PI,Wantirna
Eastern Metropolitan,2017,1015000,Ray,SP,Wantirna South
Western Metropolitan,2017,510000,Ray,S,Werribee
Western Metropolitan,2017,645000,YPA,S,Werribee
Western Metropolitan,2017,427000,Greg,S,Werribee
Western Metropolitan,2017,600000,YPA,S,Werribee
Western Metropolitan,2017,355000,Harcourts,S,Werribee South
Western Metropolitan,2017,845000,Jas,PI,West Footscray
Western Metropolitan,2017,876000,Biggin,S,West Footscray
Northern Metropolitan,2017,578000,Jason,S,Westmeadows
Western Metropolitan,2017,510000,Ray,S,Williams Landing
Northern Metropolitan,2017,390000,Ray,S,Wollert
Northern Metropolitan,2017,525000,Harcourts,S,Wollert
Western Metropolitan,2017,480000,hockingstuart,S,Wyndham Vale
Western Metropolitan,2017,471100,YPA,S,Wyndham Vale
Western Metropolitan,2017,1000000,Village,SP,Yarraville
Western Metropolitan,2017,1240000,Jas,VB,Yarraville
Western Metropolitan,2017,1115000,Village,SP,Yarraville
Northern Metropolitan,2018,765000,Nelson,S,Alphington
Western Metropolitan,2018,630000,Barry,SP,Ardeer
South-Eastern Metropolitan,2018,1000000,Ray,PI,Aspendale Gardens
Northern Metropolitan,2018,578000,Stockdale,S,Attwood
Western Metropolitan,2018,730000,Moonee,S,Avondale Heights
Eastern Metropolitan,2018,1225000,Fletchers,VB,Blackburn South
Eastern Metropolitan,2018,780000,Noel,S,Boronia
Northern Metropolitan,2018,830000,Barry,S,Bundoora
Northern Metropolitan,2018,536000,Ray,S,Bundoora
Eastern Metropolitan,2018,825000,McGrath,S,Burwood East
Western Metropolitan,2018,680000,Barry,VB,Caroline Springs
Western Metropolitan,2018,450000,Prof.,S,Caroline Springs
Southern Metropolitan,2018,925000,O'Brien,S,Cheltenham
Southern Metropolitan,2018,1410000,Buxton,SP,Cheltenham
Southern Metropolitan,2018,1280000,O'Brien,S,Cheltenham
South-Eastern Metropolitan,2018,770000,Harcourts,S,Clayton South
Northern Metropolitan,2018,695000,Barry,S,Craigieburn
Northern Metropolitan,2018,560000,LJ,SP,Craigieburn
Northern Metropolitan,2018,360000,Stockdale,S,Craigieburn
Northern Metropolitan,2018,511500,Raine,S,Craigieburn
Northern Metropolitan,2018,710500,Ray,S,Craigieburn
Eastern Metropolitan,2018,1060000,McGrath,SP,Croydon
Eastern Metropolitan,2018,845000,McGrath,S,Croydon
Western Metropolitan,2018,490000,FN,PI,Deer Park
Northern Victoria,2018,477000,HAR,SP,Doreen
Eastern Metropolitan,2018,875000,Buckingham,SP,Eltham
Eastern Victoria,2018,462000,Eview,S,Emerald
Northern Metropolitan,2018,876000,Brad,S,Fawkner
Eastern Metropolitan,2018,845000,Schroeder,S,Ferntree Gully
Eastern Metropolitan,2018,597000,Noel,S,Ferntree Gully
Eastern Victoria,2018,690000,FN,S,Ferny Creek
Western Metropolitan,2018,800000,hockingstuart/Sweeney,PI,Footscray
Eastern Metropolitan,2018,880000,Ray,S,Forest Hill
Eastern Metropolitan,2018,1120000,Harcourts,SP,Forest Hill
South-Eastern Metropolitan,2018,697250,Ash,S,Frankston
South-Eastern Metropolitan,2018,561000,O'Brien,S,Frankston
South-Eastern Metropolitan,2018,810000,Aquire,PI,Frankston
South-Eastern Metropolitan,2018,580000,O'Brien,S,Frankston
Eastern Metropolitan,2018,1130000,Harcourts,PI,Glen Waverley
Northern Metropolitan,2018,685000,Eview,S,Glenroy
Northern Metropolitan,2018,645000,RW,S,Glenroy
Southern Metropolitan,2018,575000,Harcourts,S,Hawthorn East
Eastern Metropolitan,2018,1175000,Purplebricks,VB,Heathmont
Eastern Metropolitan,2018,865000,Ray,S,Heidelberg Heights
Southern Metropolitan,2018,1410000,Buxton,S,Highett
Western Metropolitan,2018,680000,Benlor,S,Hoppers Crossing
Northern Metropolitan,2018,720000,Ray,S,Kingsbury
Eastern Victoria,2018,650000,Max,SP,Lilydale
Northern Metropolitan,2018,786500,Raine,S,Meadow Heights
Northern Metropolitan,2018,445000,Harcourts,SP,Melbourne
Western Victoria,2018,413000,hockingstuart,S,Melton
Western Victoria,2018,410000,hockingstuart,S,Melton South
Western Victoria,2018,417500,hockingstuart,S,Melton South
South-Eastern Metropolitan,2018,1120000,Thomson,S,Mentone
South-Eastern Metropolitan,2018,1462000,O'Brien,S,Mentone
Northern Metropolitan,2018,676000,Stockdale,S,Mernda
Northern Metropolitan,2018,592000,Ray,S,Mill Park
Northern Metropolitan,2018,635000,HAR,S,Mill Park
Southern Metropolitan,2018,672000,O'Brien,S,Moorabbin
Western Metropolitan,2018,340000,hockingstuart,SP,Newport
Northern Metropolitan,2018,880000,Rendina,S,North Melbourne
Southern Metropolitan,2018,1455000,Buxton,S,Oakleigh
South-Eastern Metropolitan,2018,1451000,O'Brien,S,Parkdale
Western Metropolitan,2018,411000,LJ,S,Point Cook
Western Metropolitan,2018,587500,LJ,S,Point Cook
Western Metropolitan,2018,750000,Point,S,Point Cook
Western Metropolitan,2018,675000,Reliance,S,Point Cook
Western Metropolitan,2018,692000,Reliance,S,Point Cook
Northern Metropolitan,2018,525500,Ray,SP,Reservoir
Eastern Metropolitan,2018,656000,Ray,S,Ringwood East
South-Eastern Metropolitan,2018,930000,Noel,S,Rowville
Northern Metropolitan,2018,525000,Raine,S,Roxburgh Park
Southern Metropolitan,2018,870000,Buxton,VB,Sandringham
South-Eastern Metropolitan,2018,606000,O'Brien,S,Seaford
Western Metropolitan,2018,807500,Sweeney,SP,Seddon
Northern Metropolitan,2018,670000,Ray,S,South Morang
Southern Metropolitan,2018,801000,MICM,S,Southbank
Southern Metropolitan,2018,530000,MICM,S,Southbank
Western Metropolitan,2018,675000,hockingstuart,S,St Albans
Western Metropolitan,2018,400000,People,PI,St Albans
Northern Metropolitan,2018,830000,Nelson,S,Thornbury
Western Metropolitan,2018,437500,hockingstuart,S,Werribee
Western Metropolitan,2018,900000,Barry,SA,Werribee
Western Metropolitan,2018,623000,hockingstuart,S,West Footscray
